source_type,source_name,source_path,node_path,layout_kind,anchor_min,anchor_max,anchored_position,size_delta,children_count
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_16,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_17,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_18,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_19,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_20,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_21,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area/Image/Image_22,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 15.0, ""y"": 100.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Btn_ContactUs/Btn_Default/Image,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 2.25}","{""x"": -16.000002, ""y"": -20.5}",1
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Background,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 10.0, ""y"": 10.0}",1
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Background/Background (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -10.0, ""y"": -10.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Btn_ContactUs/Btn_Default/Text (TMP),mixed,"{""x"": 0.05, ""y"": 0.3}","{""x"": 0.9515833, ""y"": 0.8}","{""x"": -0.28500366, ""y"": -1.7249451}","{""x"": -0.5700016, ""y"": -0.5698929}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LogoArea,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",6
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Ch,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": -180.0}","{""x"": 100.0, ""y"": 0.0}",3
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Btn_ContactUs/Btn_Default,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Fill Area,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/LoadingBar/Handle Slide Area,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -26.0, ""y"": 0.0}",1
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Loading_Type/BG_Base/HalloweenBG/White,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Btn_ContactUs/Btn_Default/Image/Pattern,mixed,"{""x"": 0.0, ""y"": 0.3}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Btn_ContactUs/Btn_Default/Cover,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UILoading,Assets/Resources/prefabs/ui/UILoading.prefab,UILoading/Ver (1)/Image,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 1200.0, ""y"": 1000.0}",16
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/Cover,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 400.0, ""y"": 400.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/Icon/Icon_IN,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 240.0, ""y"": 240.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/Icon/Icon_OUT,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 240.0, ""y"": 240.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/Icon,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_00/0,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_01/1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_02/2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_03/3,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_04/4,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_05/5,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_06/6,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_07/7,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_08/8,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_09/9,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_10/10,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_11/11,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_12/12,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_13/13,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_14/14,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_15/15,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_00,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_01,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_02,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_03,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_04,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_05,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_06,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_07,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_08,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_09,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_10,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_11,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_12,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_13,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_14,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_15,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_00/0/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_00/0/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_00/0/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_01/1/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_01/1/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_01/1/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_02/2/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_02/2/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_02/2/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_03/3/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_03/3/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_03/3/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_04/4/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_04/4/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_04/4/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_05/5/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_05/5/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_05/5/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_06/6/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_06/6/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_06/6/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_07/7/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_07/7/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_07/7/Deco_2,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -720.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_08/8/Deco,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -200.0, ""y"": 0.0}",0
prefab,UIMaidLobbyLoading,Assets/Resources/prefabs/ui/UIMaidLobbyLoading.prefab,UIMaidLobbyLoading/GameObject/Image_08/8/Deco_1,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": -440.0, ""y"": 0.0}",0
